year,politicians_pct,ipsos_tier,is_tier1,trust_pct_pred,spec,n_anchor,r2,intercept,slope
2021,19,"TIER 1 (double-primary). Identical value (19%/19%) given in both the chart deck and the separate topline results document, plus cross-confirmed by the 2022 deck's ""2021 score"" comparator column. Highest-confidence year in this series.",TRUE,24.147058823529406,A. All overlap years (incl. Tier-2 2016),7,0.5901466687470743,1.235294117647056,1.2058823529411764
2022,12,"TIER 1 (primary). ""The five least trusted professions, 2022"" slide; also the year's Highs-and-Lows chart on this same document labels ""2022: Politicians Low - 12%"" directly.",TRUE,15.705882352941172,A. All overlap years (incl. Tier-2 2016),7,0.5901466687470743,1.235294117647056,1.2058823529411764
2025,9,"TIER 1 (triple-primary, added 2 Sep 2026). ""Politicians generally 9%"" / ""Government Ministers 14%"" on the 2025 ""All professions"" overview slide; independently confirmed on the same document's ""2024-2025 change"" slide and the Highs-and-Lows chart (""2023 & 2025: Politicians Low - 9%""). Same document's ""2024 score"" comparator column reads 11%/15% for Politicians/Govt Ministers, matching the already-confirmed 2024 row exactly - cross-validated, unlike the 2024 deck's unreliable 2023 comparator column.",TRUE,12.088235294117643,A. All overlap years (incl. Tier-2 2016),7,0.5901466687470743,1.235294117647056,1.2058823529411764
2021,19,"TIER 1 (double-primary). Identical value (19%/19%) given in both the chart deck and the separate topline results document, plus cross-confirmed by the 2022 deck's ""2021 score"" comparator column. Highest-confidence year in this series.",TRUE,23.000000000000004,B. Tier-1 only (excl. 2016),6,0.5776000000000002,2.3714285714285666,1.085714285714286
2022,12,"TIER 1 (primary). ""The five least trusted professions, 2022"" slide; also the year's Highs-and-Lows chart on this same document labels ""2022: Politicians Low - 12%"" directly.",TRUE,15.399999999999999,B. Tier-1 only (excl. 2016),6,0.5776000000000002,2.3714285714285666,1.085714285714286
2025,9,"TIER 1 (triple-primary, added 2 Sep 2026). ""Politicians generally 9%"" / ""Government Ministers 14%"" on the 2025 ""All professions"" overview slide; independently confirmed on the same document's ""2024-2025 change"" slide and the Highs-and-Lows chart (""2023 & 2025: Politicians Low - 9%""). Same document's ""2024 score"" comparator column reads 11%/15% for Politicians/Govt Ministers, matching the already-confirmed 2024 row exactly - cross-validated, unlike the 2024 deck's unreliable 2023 comparator column.",TRUE,12.14285714285714,B. Tier-1 only (excl. 2016),6,0.5776000000000002,2.3714285714285666,1.085714285714286
2021,19,"TIER 1 (double-primary). Identical value (19%/19%) given in both the chart deck and the separate topline results document, plus cross-confirmed by the 2022 deck's ""2021 score"" comparator column. Highest-confidence year in this series.",TRUE,24.24137931034483,C. Post-2015 only,6,0.5901353120907898,1.5287356321839038,1.195402298850575
2022,12,"TIER 1 (primary). ""The five least trusted professions, 2022"" slide; also the year's Highs-and-Lows chart on this same document labels ""2022: Politicians Low - 12%"" directly.",TRUE,15.873563218390805,C. Post-2015 only,6,0.5901353120907898,1.5287356321839038,1.195402298850575
2025,9,"TIER 1 (triple-primary, added 2 Sep 2026). ""Politicians generally 9%"" / ""Government Ministers 14%"" on the 2025 ""All professions"" overview slide; independently confirmed on the same document's ""2024-2025 change"" slide and the Highs-and-Lows chart (""2023 & 2025: Politicians Low - 9%""). Same document's ""2024 score"" comparator column reads 11%/15% for Politicians/Govt Ministers, matching the already-confirmed 2024 row exactly - cross-validated, unlike the 2024 deck's unreliable 2023 comparator column.",TRUE,12.287356321839079,C. Post-2015 only,6,0.5901353120907898,1.5287356321839038,1.195402298850575
2021,19,"TIER 1 (double-primary). Identical value (19%/19%) given in both the chart deck and the separate topline results document, plus cross-confirmed by the 2022 deck's ""2021 score"" comparator column. Highest-confidence year in this series.",TRUE,22.571428571428577,D. Excl. 2020 (COVID),6,0.6186670472384759,2.795918367346942,1.0408163265306123
2022,12,"TIER 1 (primary). ""The five least trusted professions, 2022"" slide; also the year's Highs-and-Lows chart on this same document labels ""2022: Politicians Low - 12%"" directly.",TRUE,15.28571428571429,D. Excl. 2020 (COVID),6,0.6186670472384759,2.795918367346942,1.0408163265306123
2025,9,"TIER 1 (triple-primary, added 2 Sep 2026). ""Politicians generally 9%"" / ""Government Ministers 14%"" on the 2025 ""All professions"" overview slide; independently confirmed on the same document's ""2024-2025 change"" slide and the Highs-and-Lows chart (""2023 & 2025: Politicians Low - 9%""). Same document's ""2024 score"" comparator column reads 11%/15% for Politicians/Govt Ministers, matching the already-confirmed 2024 row exactly - cross-validated, unlike the 2024 deck's unreliable 2023 comparator column.",TRUE,12.163265306122453,D. Excl. 2020 (COVID),6,0.6186670472384759,2.795918367346942,1.0408163265306123
